,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
44,6,7800.0,7972.0,2.0392254843317894,25.0,pictures\transformed\roomBright_figureDark\I.JPG,brightness,18.12674134374265,sharpness,0.0304422236250142,None,None,1.0,26_I_brightness18.0_sharpness0.03.jpg,26.0,I,0.0,0.0,0.03,18.0,0.0,2023-08-26,17:45:51.857982,f,66.2719988822937,1.178262710571289,10,-0.7662665151301118
45,7,9000.0,9119.0,4.205919835596066,29.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.034915237316857,equalization,19.30900562242942,None,None,1.0,30_T_contrast1.0_equalization19.0.jpg,30.0,T,1.0,0.0,0.0,0.0,19.0,2023-08-26,17:46:01.804558,f,76.21857452392578,1.1133370399475098,10,-1.1448328971186694
46,8,11400.0,11506.0,4.176136645201507,37.0,pictures\transformed\roomBright_figureDark\C.JPG,contrast,1.04504986889349,equalization,17.45429490572413,None,None,1.0,38_C_contrast1.0_equalization17.0.jpg,38.0,C,1.0,0.0,0.0,0.0,17.0,2023-08-26,17:46:21.887061,f,96.30107712745668,1.209205150604248,10,-0.585848392981598
47,9,12000.0,12101.0,3.2034616362054797,39.0,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.6141756086050424,brightness,24.62263329516952,None,None,0.0,40_0_gamma0.61_brightness25.0.jpg,40.0,0,0.0,0.61,0.0,25.0,0.0,2023-08-26,17:46:26.963188,t,101.37720465660097,1.270616054534912,10,-0.22777579253989122
48,10,12900.0,13067.0,3.0626188268352617,42.0,pictures\transformed\roomBright_figureDark\7.JPG,sharpness,0.4645238530153489,gamma,1.047317332278436,equalization,9.946679882032571,0.0,43_7_sharpness0.46_gamma1.0_equalization9.9.jpg,43.0,7,0.0,1.0,0.46,0.0,9.9,2023-08-26,17:46:34.236133,t,108.65014934539796,1.034381866455078,10,-1.6052020250944001
49,11,14100.0,14245.0,2.6952275099296705,46.0,pictures\transformed\roomBright_figureDark\8.JPG,gamma,0.8480511064718415,sharpness,0.6048860703238184,equalization,27.22332279060857,0.0,47_8_gamma0.85_sharpness0.6_equalization27.0.jpg,47.0,8,0.0,0.85,0.6,0.0,27.0,2023-08-26,17:46:44.257138,t,118.67115497589111,1.0648040771484375,10,-1.4278172384047936
50,0,3000.0,3207.0,4.060571004326375,9.0,pictures\transformed\roomBright_figureDark\1.JPG,contrast,0.9028145684269008,equalization,14.77406732853202,None,None,0.0,10_1_contrast0.9_equalization15.0.jpg,10.0,1,0.9,0.0,0.0,0.0,15.0,2023-08-26,17:47:51.533431,t,26.36477565765381,1.250356674194336,10,-0.3459034952370897
51,1,3600.0,3765.0,4.0049617006269775,11.0,pictures\transformed\roomBright_figureDark\9.JPG,gamma,0.6087257782159855,sharpness,0.9645278960255294,None,None,0.0,12_9_gamma0.61_sharpness0.96.jpg,12.0,9,0.0,0.61,0.96,0.0,0.0,2023-08-26,17:47:56.482295,t,31.313639402389526,1.2111728191375732,10,-0.5743753785258824
52,2,5100.0,5208.0,4.280748350913439,16.0,pictures\transformed\roomBright_figureDark\8.JPG,contrast,1.199157519348521,sharpness,0.7965129954967084,equalization,17.12149073831488,0.0,17_8_contrast1.2_sharpness0.8_equalization17.0.jpg,17.0,8,1.2,0.0,0.8,0.0,17.0,2023-08-26,17:48:08.989611,t,43.80550718307495,1.1770405769348145,10,-0.773392490181608
53,3,7500.0,7674.0,2.889354058387652,24.0,pictures\transformed\roomBright_figureDark\P.JPG,contrast,0.8318546743449042,sharpness,0.285092849209593,equalization,18.08242089021003,1.0,25_P_contrast0.83_sharpness0.29_equalization18.0.jpg,25.0,P,0.83,0.0,0.29,0.0,18.0,2023-08-26,17:48:28.977702,f,63.809046506881714,1.2047438621520996,10,-0.6118611212616599
54,4,9000.0,9180.0,2.5249749753774524,29.0,pictures\transformed\roomBright_figureDark\E.JPG,gamma,0.96217618559811,sharpness,0.828461575996085,equalization,19.70885957969842,2.0,30_E_gamma0.96_sharpness0.83_equalization20.0.jpg,30.0,E,0.0,0.96,0.83,0.0,20.0,2023-08-26,17:48:41.522650,f,76.35399460792542,1.2595622539520264,10,-0.29222791530862297
